,0
GURE_PLCE,19925.142298273015
GURE_RDI,19531.672955349048
GURE_STRA,18263.11550579809
GTBP_GURE,18048.924026995963
GURE_PNRG,18005.183808452184
CYRX_GURE,18003.41576328976
GURE_LIFE,17999.94554706595
GURE_PCRX,17990.499813122173
GURE_HQI,17990.082516357455
GURE_PSTV,17985.52082617804
CDZI_GURE,17982.120037644756
EA_GURE,17980.951274908733
GURE_TREE,17979.7609212718
GURE_MDLZ,17978.987803139647
GURE_RELL,17977.129703833813
GURE_TSBK,17976.566905993637
CVBF_GURE,17968.29849242606
GURE_ITIC,17961.515081021756
GURE_IDN,17957.498954613344
GURE_ZEUS,17957.10182840506
FCCO_GURE,17952.318214288385
CONN_GURE,17949.794937403363
GURE_HFWA,17944.89967904683
GURE_NVDA,17944.157594285403
GURE_WDC,17941.97142297144
GURE_OFLX,17939.925187824447
CERS_GURE,17939.5010727719
GURE_OFIX,17937.964502160678
GURE_LPLA,17937.41259007615
GURE_NVEC,17936.971751436708
GURE_SBUX,17935.746094927475
GURE_HSIC,17931.609494886186
CIVB_GURE,17931.244477448818
GURE_UCBI,17930.435232830645
GURE_LYTS,17930.2118227686
EML_GURE,17929.71693647312
DLHC_GURE,17925.46893950823
GURE_PEBO,17921.46393056298
GURE_PRFT,17921.094974615797
GURE_SBAC,17917.838289950927
GURE_INVO,17916.9146332231
GURE_PFC,17916.52090727853
CPHC_GURE,17914.91653690576
GLBZ_GURE,17906.920073178888
GURE_SHBI,17905.989094684184
GURE_NWFL,17904.366139598325
FELE_GURE,17901.9894812222
GURE_SSB,17901.005947805847
FMNB_GURE,17898.897114831452
GURE_LNT,17897.739251351213
GURE_HBCP,17895.44892378726
BOOM_GURE,17893.828911283075
GURE_UBOH,17893.617568527792
CBSH_GURE,17890.174469836908
GURE_TRST,17887.927148466406
GURE_PWOD,17885.652345177823
GURE_WTFC,17884.84497016302
FBIZ_GURE,17879.69386555579
GURE_LARK,17879.663512344283
GURE_NEPH,17879.161165112528
DRRX_GURE,17878.915432860656
GURE_TTWO,17878.619178208384
EFSC_GURE,17875.822737898587
BFIN_GURE,17875.26042043759
GURE_HBNC,17875.115341222576
BRKL_GURE,17870.094448411834
CLMT_GURE,17869.248212148857
GURE_SMTC,17868.70720833794
GURE_VC,17867.342259209265
GURE_ONB,17865.66984329932
GURE_MTCH,17863.831719738628
CTAS_GURE,17860.956796448903
EBTC_GURE,17860.119870662507
BOSC_GURE,17859.2125371604
CDXC_GURE,17859.11032591689
GURE_HAFC,17859.096537103727
GURE_SLM,17858.515789276327
AUB_GURE,17857.844081986626
GURE_TBBK,17854.025234808803
GURE_POAI,17852.511674797228
DORM_GURE,17848.670895392228
