,traditional
0,0.013098138629902376
1,0.04588750447797967
2,0.017133223598940116
3,0.0010735237200143743
4,0.04506806006395456
5,0.004861948889250303
6,0.0004985270470634212
7,0.06987492797958492
8,0.021991028192965868
9,0.032116819076594194
10,0.05686665272620571
11,0.08875078620377684
12,0.0828437666927441
13,0.009982972314931091
14,0.05001212025083033
15,0.010792987574630077
16,0.04142555089838279
17,0.017263740577189438
18,0.01723369491455443
19,0.012410019792994859
20,0.1139367805492738
21,0.010874039107482525
22,0.03003088454981545
23,0.0041747022305399055
24,0.00744062047478392
25,0.01870021166245641
26,0.006762918041886245
27,0.03301071950812069
28,0.06596414533097829
29,0.04093256912864688
30,0.01700108781420092
31,0.005403116119168147
32,0.03640545825409457
33,0.056369441862232195
34,0.004503189551367116
35,0.029266391681419562
36,0.010424856815580127
37,0.013789533697222883
38,0.04789078331775637
39,0.0575653793010565
40,0.09683172042405515
41,0.03290768523753623
42,0.05664618515015901
43,0.050887294743125276
44,0.018383853990315585
45,0.017172088975661595
46,0.08456814782720959
47,0.04531330726824204
48,0.06742789568212065
49,0.01638810763671613
