,0
CDZI_FIVE,1853412.527413006
CDZI_PCRX,1810589.6242873636
CDZI_INVO,1798868.0493380553
CDZI_UTSI,1794605.837921447
CDZI_NEPH,1793291.6706685682
AACG_CDZI,1792931.152349738
CDZI_FCCO,1792782.7163742152
CDZI_HAFC,1792654.8492732393
CDZI_IRWD,1792130.6163065599
CDZI_CFBK,1791977.3454347993
CDZI_HBAN,1791942.4432685843
CDZI_CERS,1791824.645288128
CDZI_HOLX,1791789.557865319
CDZI_UCBI,1791726.2139129767
CDZI_EFSC,1791709.9396723919
CDZI_DRRX,1791388.2806032998
CDZI_EA,1791173.704613618
CDZI_PCYO,1791141.282800524
CDZI_MTCH,1791126.9025309589
CDZI_STCN,1791125.7350381669
CDZI_INTC,1791094.029816329
CDZI_LOPE,1791092.665119876
CDZI_TSBK,1791087.4846270788
AUB_CDZI,1791016.0584558626
CDZI_LNT,1791000.3403983805
BOSC_CDZI,1790997.623274296
AGEN_CDZI,1790962.3022769426
CDZI_PWOD,1790948.3260299223
CDZI_FBIZ,1790906.4833333977
CDZI_GTBP,1790893.4047794943
CDZI_PEBO,1790892.3644610336
CDZI_ONB,1790859.5780513333
CDZI_UBOH,1790853.6042013008
BRKL_CDZI,1790836.3658517443
CDZI_SSB,1790834.8088285788
CDZI_MORN,1790816.1692813432
CDZI_PFC,1790813.9329607084
CDZI_TREE,1790798.8743422031
CDZI_CVBF,1790752.52877923
CDZI_LARK,1790747.7142899616
CDZI_HFWA,1790742.6171095187
CDZI_SLM,1790739.918932206
CDZI_HBNC,1790702.693781958
CDZI_CIVB,1790692.0546904951
CDZI_ZEUS,1790684.8793330584
CDZI_FEIM,1790678.8923788345
CDZI_JAKK,1790672.4234817673
CDZI_TTWO,1790668.8225828246
AXTI_CDZI,1790666.8936904892
CDZI_FMNB,1790657.1327383092
CDZI_SBUX,1790642.600010621
CDZI_EXEL,1790634.1743997575
CDZI_HOLI,1790612.590563872
CDZI_OFLX,1790607.2873977202
CDZI_ITIC,1790597.1943760153
CDZI_THRM,1790581.496610536
CDZI_TRMK,1790577.835646171
CDZI_LMAT,1790566.7472178978
CDZI_PGC,1790564.8896946178
BOKF_CDZI,1790564.2994580264
CDZI_EBTC,1790556.0763070793
CDZI_HBCP,1790554.833985978
CDZI_TRST,1790544.8149973943
CDZI_WERN,1790544.411136987
CDZI_FITB,1790540.1430098282
CDZI_COHU,1790520.1773762058
CBSH_CDZI,1790517.9307010414
CDZI_NDSN,1790515.240697857
CDZI_DORM,1790512.336773402
CDZI_WTFC,1790508.7289634633
CDZI_NTRS,1790506.3497717017
CDZI_FGBI,1790493.2342082234
CDZI_WNEB,1790486.5992639796
CDZI_DLHC,1790478.2019467936
CDZI_EML,1790475.3290867824
CDZI_NATH,1790473.0009363457
AVID_CDZI,1790471.9571386755
CDZI_CHCO,1790469.4728796997
CDZI_FNLC,1790454.1199695047
CCOI_CDZI,1790453.0121713625
CDZI_NVDA,1790452.3906577753
CDZI_SSNC,1790432.3680409307
