,0
GTBP_PSTV,3574211356.2018776
GTBP_THRM,1700590219.1695547
CPHC_GTBP,1699286793.8648884
GTBP_MTSI,1697890014.2628877
CIVB_GTBP,1697347584.8176537
GTBP_PRFT,1696847260.5444877
GTBP_NTGR,1696826857.2912064
AUB_GTBP,1696772623.5551543
GTBP_WIRE,1696722028.9250755
FBIZ_GTBP,1696688550.1824832
GTBP_PEBO,1696675365.8182268
GTBP_ONB,1696656189.031133
EML_GTBP,1696637348.0848258
GTBP_SBUX,1696625217.8459687
GTBP_STKL,1696555344.4508882
GTBP_SSB,1696547675.021388
GTBP_PCTI,1696538643.9166274
GTBP_LMAT,1696510904.8324885
CGEN_GTBP,1696509029.272048
GTBP_SCVL,1696508588.5838313
GTBP_PFC,1696500156.621971
GTBP_ITIC,1696498366.0224319
GTBP_LOPE,1696498099.6891658
CALM_GTBP,1696494261.4859066
CTAS_GTBP,1696472863.1409433
GTBP_SYPR,1696461080.6413367
DORM_GTBP,1696447115.5094006
GTBP_LPLA,1696446390.763473
DGLY_GTBP,1696439693.6817083
GTBP_HBCP,1696432151.8744833
GTBP_SSNC,1696426486.1583552
EXLS_GTBP,1696414716.6475933
GTBP_SMCI,1696399000.2425957
GTBP_LKQ,1696397185.2454083
ELTK_GTBP,1696395533.8435085
FELE_GTBP,1696391847.211868
GTBP_OFLX,1696383860.582778
GTBP_IDN,1696379900.2287006
GTBP_NSIT,1696378158.5143342
GTBP_LNT,1696378087.2814348
GTBP_STGW,1696371955.3076293
GTBP_INTU,1696366816.0871325
GLBS_GTBP,1696365832.3129396
GOOGL_GTBP,1696364335.0114155
ANTE_GTBP,1696362952.226689
FITB_GTBP,1696352437.602063
GTBP_TTMI,1696350519.7976325
GTBP_LARK,1696346759.4948041
GTBP_IMKTA,1696345495.362402
GTBP_INTC,1696344868.1731627
AOSL_GTBP,1696344821.5758464
GTBP_PGC,1696343249.7008183
GTBP_MORN,1696341147.2371566
GTBP_TCX,1696336294.8454435
GTBP_SNFCA,1696335918.6762862
BRKL_GTBP,1696329813.2279568
GTBP_KDP,1696328245.5854087
GTBP_LSTR,1696324660.0406094
GTBP_ULH,1696318655.0758622
GTBP_UBOH,1696316423.8473837
GTBP_RICK,1696314526.6995292
GTBP_HSIC,1696306433.5358417
FGBI_GTBP,1696306278.1425946
GTBP_PLXS,1696305434.365928
FMNB_GTBP,1696303923.2899666
EBTC_GTBP,1696301048.5619082
CBSH_GTBP,1696298059.6087954
COHR_GTBP,1696296760.8775692
GTBP_ICFI,1696295808.7457201
GTBP_WTFC,1696294141.2096083
GTBP_MSTR,1696293697.8170323
CVBF_GTBP,1696293124.1603627
GTBP_PWOD,1696292782.4131036
GTBP_MSFT,1696291343.8974524
BLKB_GTBP,1696289602.7150657
GTBP_URBN,1696288557.5734756
GTBP_HBNC,1696287748.2515717
BECN_GTBP,1696278302.1543527
FNLC_GTBP,1696276916.8174086
GTBP_NTRS,1696276358.558941
CDZI_GTBP,1696272938.3081794
GTBP_SLM,1696271936.0654535
CHCO_GTBP,1696270990.4472365
ARKR_GTBP,1696269716.4056041
GTBP_NVEC,1696268414.8913062
GTBP_TRMK,1696268166.0270092
GTBP_TRST,1696265737.8592174
ESLT_GTBP,1696265655.4074242
GTBP_REED,1696265432.8017192
GTBP_SHBI,1696263916.4207044
GTBP_RBCAA,1696262153.3069534
GTBP_GURE,1696257130.630324
BOKF_GTBP,1696256939.8080423
GTBP_WNEB,1696255903.567086
GTBP_NATH,1696254842.9989264
GTBP_VLGEA,1696254015.016586
GTBP_RELL,1696252333.3477256
GTBP_WERN,1696252120.8309455
CERS_GTBP,1696251562.768002
GTBP_OCC,1696250122.8142998
GTBP_PLCE,1696249970.8910668
BGFV_GTBP,1696249572.362036
GTBP_SMIT,1696248023.5682037
CROX_GTBP,1696246926.7816048
DRRX_GTBP,1696246677.518331
FKWL_GTBP,1696242890.2068992
GLBZ_GTBP,1696242066.373421
GTBP_MHLD,1696240301.9605122
GTBP_THMO,1696239151.4651213
GTBP_RDI,1696237687.320276
GTBP_JVA,1696237366.9675329
AGEN_GTBP,1696237054.3066466
ATEC_GTBP,1696236873.0679178
GTBP_NWFL,1696236709.2720191
GTBP_NFLX,1696234557.2626863
AZN_GTBP,1696232403.0314834
GTBP_SMTC,1696231723.6452153
ALLT_GTBP,1696228499.911492
CONN_GTBP,1696224165.6455152
GTBP_STRA,1696223326.1974175
CWCO_GTBP,1696222916.541514
GTBP_RRGB,1696222331.0120661
AACG_GTBP,1696221885.0456173
DLTR_GTBP,1696217905.2813776
GTBP_STCN,1696217605.5580297
AGNC_GTBP,1696216821.6102111
CPLP_GTBP,1696216187.665752
GTBP_HALL,1696213116.7483711
GTBP_MTCH,1696212791.006843
EXEL_GTBP,1696212563.5636244
GTBP_MDLZ,1696211386.2937598
CDXC_GTBP,1696210632.7771106
GTBP_INVO,1696210603.647932
FANH_GTBP,1696208992.9461772
GTBP_ORRF,1696208313.8183596
GTBP_TTWO,1696207822.160214
GTBP_WILC,1696207611.07594
GTBP_OFIX,1696206461.1403754
AEP_GTBP,1696201891.0380015
GTBP_HQI,1696201412.381565
GTBP_PNRG,1696201374.4796546
GTBP_MVIS,1696201086.902408
GTBP_MEIP,1696200184.428401
GTBP_USAU,1696199861.5253825
GTBP_PSEC,1696199755.997249
GTBP_IRWD,1696198835.9765816
GTBP_NEPH,1696198669.6272225
GTBP_PCRX,1696198254.2355344
GTBP_NXGN,1696198050.87033
GTBP_ZEUS,1696197418.5815575
GTBP_RIOT,1696197045.708693
CFBK_GTBP,1696196751.020444
GTBP_SGRP,1696196639.1513326
BOSC_GTBP,1696196169.582319
GTBP_UTSI,1696195101.13188
GTBP_JAKK,1696195046.3520207
COHU_GTBP,1696194182.6181073
GTBP_SOHO,1696193486.2906642
GTBP_NSYS,1696192872.5841677
GTBP_PCYO,1696192585.9690413
GTBP_UCBI,1696192514.8773677
GTBP_HAFC,1696191787.9870307
GTBP_HBAN,1696190887.3133118
DAKT_GTBP,1696190524.2424972
CYRX_GTBP,1696189908.0245647
FCCO_GTBP,1696189530.10108
GTBP_WDC,1696188458.753843
GTBP_HOLX,1696188141.3660388
FEIM_GTBP,1696184246.452589
DLHC_GTBP,1696181611.654732
GTBP_TATT,1696179042.7556033
GTBP_INCY,1696171181.8759315
CHEF_GTBP,1696170879.5653677
GTBP_HBIO,1696167094.569041
EFSC_GTBP,1696158869.1564243
BOOM_GTBP,1696154890.5680304
AEHL_GTBP,1696153364.315731
GTBP_SBAC,1696153078.115316
APDN_GTBP,1696152143.4354532
GTBP_HAIN,1696148364.6232538
GTBP_LYTS,1696147754.2654107
GTBP_TREE,1696146751.3523638
GTBP_POAI,1696145443.562406
AVID_GTBP,1696143582.5255451
CCOI_GTBP,1696137899.1869435
GTBP_STRT,1696134778.6052992
