,0
AEHL_MORN,406503.23138279916
MORN_NXGN,406417.76968858065
AZN_MORN,406369.8547837969
AGNC_MORN,406334.64833445946
DAKT_MORN,406223.68891937134
CLMT_MORN,406212.3010286176
MORN_STRA,406171.73262313486
CGEN_MORN,406039.90002872667
MORN_OFIX,405963.9267141555
CDXC_MORN,405836.0447485201
HBIO_MORN,405712.65264441323
GURE_MORN,405672.19592200057
LIVN_MORN,405670.8222994155
CPLP_MORN,405664.93191333127
APDN_MORN,405612.05704440427
MORN_SCOR,405555.90812972066
JVA_MORN,405548.03804484685
EXTR_MORN,405460.34483629256
MORN_RCON,405459.7776921128
MORN_TATT,405424.16339219606
MDVL_MORN,405381.23028349073
MORN_VLGEA,405347.0465271376
BECN_MORN,405289.32051228033
GEOS_MORN,405188.9609216382
HALL_MORN,405100.9623436062
MORN_SOHO,405068.9265033871
IEP_MORN,405065.0316467002
MORN_RRGB,404964.29239438154
MORN_PSEC,404900.81678638875
ARAY_MORN,404879.99479269923
MHLD_MORN,404868.0275641147
CONN_MORN,404864.41579365014
MORN_PSTV,404820.6575971341
MORN_SYPR,404789.3109418276
DGLY_MORN,404784.84453560587
BOOM_MORN,404738.2771520366
IDN_MORN,404641.4866741643
CDZI_MORN,404591.56683710666
CRESY_MORN,404574.2066208899
MORN_RDI,404568.6539947061
MORN_STKL,404544.9346646936
MORN_WDC,404543.5044069695
FANH_MORN,404501.9236011073
CHEF_MORN,404470.30453148356
LIFE_MORN,404448.7495112387
MORN_ORRF,404433.09416358813
MORN_MSTR,404428.9134503255
GVP_MORN,404403.36556025775
MORN_REED,404399.84250650974
MORN_WILC,404365.79637281847
ITRI_MORN,404361.4854975993
MORN_PLCE,404343.8345512715
BLKB_MORN,404287.1277136961
MORN_MTSI,404259.81589866016
GLBS_MORN,404235.5066678892
MORN_POAI,404198.22135917254
ATEC_MORN,404196.0308041892
MORN_STGW,404192.60143040144
CALM_MORN,404185.2181971248
ANTE_MORN,404129.9199666791
CWCO_MORN,404124.58101851784
MORN_SMTC,404109.3161193221
ALLT_MORN,403958.57137573895
KDP_MORN,403933.37737024156
MORN_SGRP,403910.9008264456
FARO_MORN,403895.7640504779
ESLT_MORN,403839.8742456978
ARKR_MORN,403835.6861038874
MORN_TCX,403758.14244208136
MORN_PCTI,403735.2294962977
FKWL_MORN,403708.7210571668
MORN_UAL,403516.69148633024
MORN_SHBI,403475.57637924433
MORN_URBN,403353.0029726509
BFIN_MORN,403324.36320947955
MORN_OCC,403233.06073636055
DLTR_MORN,403167.24553058896
MORN_TTMI,403155.06160315615
MORN_TBBK,403113.82360667974
COHR_MORN,403101.36132652994
HAIN_MORN,403052.14077537984
MORN_USAU,403040.90476434416
CAR_MORN,402950.90546676336
MORN_SMIT,402920.29076530546
MORN_TREE,402912.85384751554
MORN_NTGR,402759.04585261585
MDLZ_MORN,402719.2723191504
BGFV_MORN,402647.6452887095
MORN_VICR,402447.1280908881
AEP_MORN,402435.12719713297
AOSL_MORN,402408.91975308576
ELTK_MORN,402234.0726130464
MORN_PCYO,402214.074610726
MORN_RICK,402199.9263679465
FEIM_MORN,402177.1607915219
MORN_TTWO,401666.721934171
MORN_VC,401545.966864887
MORN_NWFL,401137.8304587007
AXTI_MORN,400205.92283950554
GTBP_MORN,400162.6754587131
GLBZ_MORN,399884.4733727804
MORN_STRT,399612.39974455483
MORN_NATH,399204.8090230141
IESC_MORN,399194.98598742316
MORN_RBCAA,398280.8392187493
AACG_MORN,398033.43856726296
FIVE_MORN,397595.90948736144
MORN_PLXS,396219.33680499846
MORN_WTFC,395815.38978894113
COHU_MORN,394321.00624739623
MORN_UCBI,393793.2206745339
MORN_NTRS,392531.1678218855
LPLA_MORN,392279.1393555711
CPHC_MORN,392157.0548696838
MORN_SBAC,391699.99913194374
MORN_SNFCA,391335.1733757692
CIVB_MORN,391054.70196311653
CROX_MORN,390806.58420972346
DLHC_MORN,389104.6587395951
LYTS_MORN,388684.5816326524
MORN_WNEB,387905.2857142851
CYRX_MORN,386491.17964805325
LARK_MORN,382704.07065168436
FGBI_MORN,382378.92494968115
MORN_TSBK,380895.70042522385
MORN_SBUX,379038.85479999933
MORN_SHEN,378188.44533527637
FNLC_MORN,376794.2013888882
FMNB_MORN,375153.0156249993
CHCO_MORN,374148.65759637125
MORN_TRMK,372384.35802469077
MORN_NFLX,353893.8215854149
MORN_MSFT,345472.2959183668
IMKTA_MORN,335801.7156055357
EXEL_MORN,333371.2187499994
MORN_NVDA,282674.30612244847
FITB_MORN,262735.81249999953
INTU_MORN,247242.3061224486
CTAS_MORN,221184.42187499965
FBIZ_MORN,200710.87499999962
ICFI_MORN,196317.49999999965
MORN_UBOH,163181.74999999974
AGNC_FBIZ,160709.76435731124
FBIZ_OFIX,160590.50942928987
AZN_FBIZ,160578.9714667723
AEHL_FBIZ,160564.8941270273
FBIZ_NXGN,160514.77410034617
DAKT_FBIZ,160465.9528082611
CLMT_FBIZ,160446.8636319242
FBIZ_STRA,160397.52940760844
CGEN_FBIZ,160282.25807957503
FBIZ_JVA,160272.9408226255
APDN_FBIZ,160190.20111475798
FBIZ_HBIO,160162.32394071043
CDXC_FBIZ,160144.6793639055
FBIZ_VLGEA,160000.38216168593
FBIZ_GURE,159972.50666497333
FBIZ_MDVL,159956.50563037972
CPLP_FBIZ,159936.61230437385
FBIZ_HALL,159929.17467021482
FBIZ_SCOR,159885.67690261526
FBIZ_TATT,159828.64175758153
FBIZ_LIVN,159771.1966575678
FBIZ_MSTR,159749.13324873717
FBIZ_IEP,159709.18159427724
BLKB_FBIZ,159701.53251502145
ARAY_FBIZ,159682.66908847468
FANH_FBIZ,159674.60649584504
FBIZ_GVP,159632.83011249738
FBIZ_RCON,159631.3719581687
FBIZ_IDN,159547.23580003926
DGLY_FBIZ,159539.94671681474
FBIZ_SYPR,159528.90962603895
EXTR_FBIZ,159505.02258858696
FBIZ_RRGB,159473.0097830266
FBIZ_LIFE,159443.79971011463
FBIZ_GEOS,159437.82360360993
FBIZ_TCX,159435.29059023032
FBIZ_PSTV,159415.80240779565
FBIZ_ORRF,159388.25717528485
BOOM_FBIZ,159380.30761422234
FBIZ_MHLD,159377.16677600186
FBIZ_RDI,159368.25070724517
FBIZ_WILC,159340.63349403138
CRESY_FBIZ,159332.1152890109
FBIZ_ITRI,159312.2776976002
CONN_FBIZ,159296.01341269858
FBIZ_FKWL,159256.83334530322
ALLT_FBIZ,159254.24445266288
FBIZ_SOHO,159240.0946068362
FBIZ_POAI,159225.15863630967
FBIZ_MTSI,159217.4281633343
FBIZ_STKL,159203.97633136113
FBIZ_GLBS,159196.37840168932
FBIZ_STGW,159176.28946250345
ATEC_FBIZ,159134.67584525363
CWCO_FBIZ,159082.56712962978
FBIZ_KDP,159081.25237024244
