,,0
PRFT,IMKTA,0.8677525819277968
IMKTA,WERN,0.8612433028008765
EXLS,IMKTA,0.8450174518368979
PRFT,WERN,0.7992494236194974
ITIC,WERN,0.7778667192307637
PRFT,SCVL,0.7369173281738467
EA,WERN,0.7313694606349213
EXLS,PRFT,0.7218451959485428
EA,ITIC,0.7104935662734455
ITIC,CCOI,0.685065612084855
EXLS,CERS,0.6429452108108288
CCOI,PRFT,0.6322739131068472
EXLS,WERN,0.6237209840842106
ITIC,IMKTA,0.6068273732393388
CERS,PRFT,0.6020697842251619
CERS,IMKTA,0.5920968850259606
IMKTA,PCYO,0.5874764821219219
NTGR,FKWL,0.5721035127767042
CCOI,WERN,0.5696965459202509
ITIC,PCYO,0.5500005374301442
WERN,PCYO,0.5491358649805275
CERS,WERN,0.5419865311663242
EA,PRFT,0.540941246578661
UAL,HSKA,0.5371260629962725
EA,IMKTA,0.5352189015575408
SCVL,IMKTA,0.528429299404323
UAL,COHR,0.5249880130593116
CCOI,PCYO,0.523353492595526
EXLS,SCVL,0.5198222686157432
PRFT,PCYO,0.5167900128185942
UAL,TATT,0.5143131454727733
ITIC,PRFT,0.4971629908141657
EA,CCOI,0.4881851419065957
DAKT,DGLY,0.48269104916745936
CERS,SCVL,0.47313636261161435
HSKA,TATT,0.4674456285092817
DAKT,TATT,0.4617050309827835
FKWL,CPLP,0.4594065797503549
NTGR,HSKA,0.45041434800667046
CCOI,IMKTA,0.4499384855058383
EXLS,ITIC,0.44020330195501145
DGLY,CPLP,0.4352405117080724
CERS,CPLP,0.40872183937909706
EA,PCYO,0.4042842091145568
EXLS,CCOI,0.3991747756598924
CERS,CCOI,0.39790165615968576
COHR,CPLP,0.3977157062289758
EXLS,DGLY,0.37520150265384006
ITIC,FKWL,0.36515177122983866
EXLS,CPLP,0.3435937944575773
SCVL,WERN,0.33725882692631126
CDXC,TATT,0.33317731807224243
NTGR,OFIX,0.3165243089107901
EXLS,PCYO,0.3160707320638138
DGLY,FKWL,0.30934300672554516
COHR,CERS,0.3061038217291624
HSKA,OFIX,0.2863477112489628
EXLS,EA,0.2616210494564967
DAKT,CDXC,0.25741095849196244
CERS,ITIC,0.2563670320477755
DAKT,HSKA,0.25480511529901995
EXLS,FKWL,0.24459431626350264
EA,SCVL,0.24120791626519855
DAKT,FKWL,0.21848425169165359
COHR,CCOI,0.21021118544537012
SCVL,PCYO,0.20821453754502736
NTGR,CPLP,0.20133070977804937
CDXC,CPLP,0.1959734204822528
COHR,DGLY,0.183484517628429
CERS,DGLY,0.18321280071764923
FKWL,PCYO,0.1819903595139709
NTGR,DGLY,0.18030852214928744
CCOI,SCVL,0.1750442841745992
CDXC,FKWL,0.1721517437278863
EXLS,COHR,0.17037225641533743
DAKT,CPLP,0.17034274115208425
NTGR,DAKT,0.16960719591970014
COHR,PRFT,0.1548478739570539
FKWL,IMKTA,0.1490322485479032
NTGR,TATT,0.14801529707935518
HSKA,FKWL,0.14620858650882387
CERS,PCYO,0.14129798207652247
UAL,DAKT,0.12457959700097022
DGLY,OFIX,0.12308994595077499
SCVL,CPLP,0.12140703034094537
DGLY,TATT,0.11815549912224257
COHR,DAKT,0.1139858507987646
FKWL,WERN,0.09962415041743
COHR,HSKA,0.09945768938237708
IMKTA,CPLP,0.09884891498168222
COHR,WERN,0.0937960882312177
EA,CERS,0.08973435441863216
COHR,SCVL,0.07382773155077621
EXLS,CDXC,0.07382252456706972
CDXC,PCYO,0.07175400324017162
CDXC,DGLY,0.07075024019148093
CCOI,FKWL,0.06235565923800397
CDXC,OFIX,0.06088712286671677
COHR,FKWL,0.05625908591342084
OFIX,CPLP,0.056114511067003575
CDXC,SCVL,0.05239790458624442
CDXC,HSKA,0.04759170346218611
NTGR,CDXC,0.04312702568950389
COHR,IMKTA,0.038309107024837794
CERS,FKWL,0.01973309788981968
UAL,CDXC,0.018458147583884584
DAKT,OFIX,0.015191862567367695
COHR,ITIC,0.012591504132012503
CDXC,IMKTA,0.009616029421688417
UAL,SCVL,-0.00019228751981218266
COHR,TATT,-0.015890636186213027
NTGR,ITIC,-0.02344791363243403
UAL,CCOI,-0.023823157671425756
FKWL,OFIX,-0.02621077759833288
PRFT,CPLP,-0.02702868602415545
EA,HSKA,-0.0383196906862665
COHR,PCYO,-0.04667064086805454
EA,TATT,-0.047241551586477984
ITIC,HSKA,-0.0485997027446182
DGLY,IMKTA,-0.04934531335729035
