year,CPLP,PAGP,TATT,PCYO,WERN,LYFT,CPOP,EDTK,IMKTA,PLMR,PT,MDXH,OFIX,VRM,SCVL,FKWL,ARHS,HSKA,ALRM,PRFT,NSTG,DGLY,SRAD,CCOI,CNDT,RPD,CDXC,PRVA,ITIC,CERS,TENB,SYNH,DAKT,HQY,COHR,UNAM,UAL,NTGR,EA,XOS,EXLS
2009,1.0,,1.0,1.0,1.0,,,,1.0,,,,1.0,,1.0,1.0,,1.0,,1.0,,1.0,,1.0,,,1.0,,1.0,1.0,,,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0
2010,1.2165091523337672,1.0,0.5708248496791948,1.0080085192461121,1.2162474756683013,,,,0.967413844318272,,,,1.1639164043498031,,1.1996091819459913,0.9911265506200806,,0.8404683292267926,,1.2685052298778758,1.0,0.7249448493834194,,1.591265807224318,,,0.934838276230656,,1.2332214330866933,1.7720903407298119,,,0.40167075267989555,,0.983894426439758,0.9850539488029566,1.0768151335955136,1.2675173787647411,0.9399356785635853,,0.9368400073170359
2011,1.4049272911473298,1.0640820780467113,0.7742229155998798,1.0016697837547193,1.447323132223445,,,,0.9829267883337524,,,,0.6039210887447787,,1.384091544499131,1.0899821345529526,,0.9704113197671941,,1.4836888528794203,0.985126220454126,0.8317173557294116,,2.1212246029693382,,,0.5309569262121164,,1.1338748966228294,1.990989422666865,,1.0,0.778812483855997,,1.226776186434434,1.0433242581507476,1.0803169241355992,1.370007990705583,1.2092725812940384,,1.0346742558399347
2012,0.9104725172234859,1.1246630108678015,1.0430003551963147,0.5072133371027684,1.4516698303470204,,,,1.007427903113669,,,,1.2057408964631402,,1.3653768622899494,0.7116298009657975,,0.8968025241344926,1.0,1.5951757102695545,0.7600313922662713,0.9525281058391828,,1.7577217235289468,,1.0,0.49324274518896716,,1.3949427470032227,2.0273423371536468,,1.0558328726087454,0.605407776406843,,1.0771255419154409,0.9794542233666952,0.9978473639900614,1.3383620676839834,1.4659213030076408,,1.1082013116828475
2013,0.9082587153837449,1.1371451227908258,1.1832207950390388,1.083464092432513,1.17729388066007,,,,0.9879566371751468,,,,0.5734871693073537,,1.3856487453738615,0.8578853011184768,,0.7534977854256705,1.3815396364015102,1.6762552815548413,1.077232707122353,0.9153646586457174,,2.7844125494945584,1.0,0.8658748138021902,0.8654149470752621,,1.6361862205209932,1.3732704709546477,,1.5390258355988662,0.8596542645419435,1.0,0.9847593200182075,0.9393724491846585,1.0620920437712695,1.1952361334070265,1.550439669867573,,1.1670905632604855
2014,0.8415751478638135,1.2165638596419555,1.0701113851749504,1.1225557938392465,1.294266676722005,,,,1.0408299389042577,,,,0.7246517408891603,,1.327053444717539,0.699683754850498,,0.9674865164253845,1.295021230313377,1.7527120612700826,1.0463367250697537,0.6890468549020135,,1.9883422848243613,0.9294147547143826,0.564783483979587,0.8756893839232479,,1.2245510645526794,1.1840055495416781,,1.6725083268563585,0.8638225232903632,0.7696407655011911,0.7565368062670388,0.9481028596092507,1.103595765685501,1.101673626429317,1.4770635999526904,,0.6961253888996779
2015,0.8469650834168923,1.4902791996028226,1.3148229632435176,0.8799289932129537,1.9199301374735995,,,,1.257630325547896,,,,0.6969807606357415,,1.2980044453753423,0.8681038393910537,,1.1167771354269045,1.1413782224217865,1.6642848333252498,1.2357616999311996,0.6658491863041187,,1.8046673614914923,0.5882153741957332,0.7261708179390755,1.002477553738643,,1.462587481883026,0.9118811597935422,,2.6005554783941376,0.7831859596128998,1.0809425130033912,0.922739092717758,0.8694685945377066,1.3546724494432947,1.1984243485792296,2.0058345929392734,,0.9716804440962834
2016,0.829709393223817,1.4716091563633666,1.0573428564432408,1.0801477339977468,1.3656034327455826,1.0,,,1.1891857832423214,,,,0.7782899080554587,,1.3530401003621042,0.9014390058570887,,1.298032550560565,0.9940043604651163,1.574009082924298,1.3400653231396502,0.5420156710577226,,2.0231431079112454,0.6345043617811396,1.1254716528264481,0.996146570156219,,1.9616009254551623,1.0015538054906061,1.0,2.459718816349172,0.45929740609842856,1.1370085926725546,0.9365045397650285,0.864439826518018,1.214337290807211,1.3533611963078296,2.0378140273241097,,0.9393814976233564
2017,0.7701545715383764,0.8870257953351144,1.155193377121818,1.1020683680758732,1.9904685791517247,1.7150649152811903,,,1.1294159670364003,1.0,1.0,,0.8714282690338068,,1.2661139721943282,0.8529326285261879,,1.313329386141519,1.3099040889136773,1.5419463585784303,1.4262368291173915,0.6087374368967651,,1.9122348644192795,0.9171470424823309,1.240361999527812,0.6591494875168358,,1.9875645195926925,1.318180810425042,1.269292368535693,0.9389145743389054,0.6206409905740814,1.254630668406905,1.017356556217526,0.6514900265030702,1.1946252132333777,1.02609175459572,2.087595063900475,,0.8911300122122623
2018,0.6356408943361018,1.6463089232720074,0.533036336450075,1.1354015735510894,2.071310683746979,1.6602450319004205,1.0,1.0,1.2320444685609762,1.8573385004200307,1.2413788811708217,,0.8369289380968821,1.0,1.2447112742909645,0.6349160134189206,,0.9938412316554875,0.9992493162230417,1.7040392117764775,1.239407052643126,0.5108375919465773,,2.3253981964736203,0.8507534822872884,1.3068343627584325,0.33544768420038823,,1.842426016909869,1.7128230253898555,1.3481188898742733,1.7653586066720626,0.5446290399197308,1.3262443379618198,1.0397647844833022,0.8158861362422821,1.1791340901683964,0.9160082185404473,2.1364450110626363,,0.7256869524588624
