,0
FIVE_OFLX,59409.55557924145
OFLX_USAU,59395.05268924666
MORN_OFLX,59313.92640097182
GTBP_OFLX,59313.334682745044
LKQ_OFLX,59253.021731273904
BLKB_OFLX,59225.71888673274
MSFT_OFLX,59208.51687884908
OFLX_SGRP,59190.321484941014
EXLS_OFLX,59159.178378232566
FANH_OFLX,59103.84059539266
INCY_OFLX,59098.77812159319
LSTR_OFLX,59013.954907704596
OFLX_RICK,58999.1571304363
OFLX_SCOR,58990.401186479474
NXGN_OFLX,58989.44374052624
LIVN_OFLX,58977.7428166311
OFLX_STRA,58957.99643958991
ICFI_OFLX,58957.25196327704
LMAT_OFLX,58931.31705574491
OFLX_SHEN,58910.867232123084
NDSN_OFLX,58899.34283150165
ESLT_OFLX,58888.49372982898
ARAY_OFLX,58861.2300101208
OFLX_SMCI,58859.26810225012
DLTR_OFLX,58849.304980673856
FKWL_OFLX,58812.0223908491
COHR_OFLX,58809.90688393115
CHEF_OFLX,58792.02023919475
GOOGL_OFLX,58782.274701493094
CPLP_OFLX,58765.743053429316
GLBS_OFLX,58764.146118167475
OCC_OFLX,58761.47282287199
AEHL_OFLX,58710.80461331233
IEP_OFLX,58708.3232358822
OFLX_STKL,58707.45541301973
OFLX_PSEC,58705.78965954011
DAKT_OFLX,58704.55563921981
EXEL_OFLX,58634.530530073316
OFLX_URBN,58614.619874356664
OFLX_PLXS,58600.05611862616
EXTR_OFLX,58599.93496492904
DGLY_OFLX,58585.45736093687
OFLX_SSNC,58576.163925811896
CGEN_OFLX,58562.07544955294
OFLX_PCTI,58550.64273168819
ITRI_OFLX,58526.18866756669
ANTE_OFLX,58475.76969323518
OFLX_TATT,58475.09208002623
OFLX_TTMI,58463.400689458525
HALL_OFLX,58455.453373275224
AZN_OFLX,58453.86986595263
OFLX_PLCE,58449.05799888428
GEOS_OFLX,58441.79749504741
MSTR_OFLX,58437.15619984328
OFLX_SNFCA,58430.022263444465
FARO_OFLX,58420.214610176095
KDP_OFLX,58369.524334380556
OFLX_RDI,58288.937522123226
CALM_OFLX,58285.72955551264
CWCO_OFLX,58279.362022241796
APDN_OFLX,58264.34718752204
ALLT_OFLX,58256.267626188244
AEP_OFLX,58249.58909403689
BGFV_OFLX,58214.32738809341
CRESY_OFLX,58213.30840153867
GURE_OFLX,58193.00723203776
AGEN_OFLX,58184.474807311584
GVP_OFLX,58180.81919579597
IRWD_OFLX,58178.534095842835
OFLX_RRGB,58174.90745506839
AACG_OFLX,58154.139880222414
AGNC_OFLX,58145.26379986241
OFLX_STGW,58136.87755425395
OFLX_THMO,58104.76393612422
NTGR_OFLX,58092.25456311214
MHLD_OFLX,58084.116382033455
ELTK_OFLX,58070.90494633098
OFLX_SMIT,58037.129024777074
ATEC_OFLX,58011.78983977917
OFLX_WERN,57978.396123675346
OFLX_PCYO,57955.74137180576
NFLX_OFLX,57950.5378126791
HSIC_OFLX,57919.40498315488
ARKR_OFLX,57917.89736998163
CLMT_OFLX,57902.76362163885
OFLX_WILC,57888.71156074018
CAR_OFLX,57884.91683260494
HOLX_OFLX,57873.580093131895
IESC_OFLX,57757.5105889634
INTC_OFLX,57744.4627669424
LOPE_OFLX,57722.107229286215
MVIS_OFLX,57711.100518686566
HAIN_OFLX,57706.56087128396
OFLX_RCON,57696.758823223805
OFLX_UTSI,57671.52460095537
OFLX_REED,57576.743558804636
JVA_OFLX,57492.156555304384
OFLX_POAI,57448.08734191027
DRRX_OFLX,57433.34827303333
BOOM_OFLX,57406.89147935317
OFLX_VICR,57333.239492019806
OFLX_VLGEA,57330.48848509051
OFLX_TCX,57294.104901432795
OFLX_PSTV,57254.5505127796
AXTI_OFLX,57236.95961763149
OFLX_STCN,57231.20123199806
OFLX_SYPR,57231.189086043974
LPLA_OFLX,57213.16393323141
OFLX_SOHO,57164.679277192525
BECN_OFLX,57015.73576303289
DORM_OFLX,56978.64701475322
HBIO_OFLX,56832.93815757428
HOLI_OFLX,56725.53175544516
FEIM_OFLX,56505.80624734479
CDXC_OFLX,56487.42125707619
OFLX_UAL,56430.50465834062
NTRS_OFLX,56370.7075164803
OFLX_THRM,56364.08827262423
ITIC_OFLX,56298.58668946974
NATH_OFLX,56197.365391295396
DLHC_OFLX,56190.30518937464
MTCH_OFLX,56110.4809247198
OFIX_OFLX,56088.548429669594
BOKF_OFLX,55927.43188435074
CCOI_OFLX,55776.89287780499
AOSL_OFLX,55701.15800712756
NSIT_OFLX,55605.62594193948
OFLX_TTWO,55394.29754555972
IDN_OFLX,55306.94662132369
IMKTA_OFLX,55231.77098183698
OFLX_PGC,55183.2155635853
CDZI_OFLX,55120.40521542926
NVEC_OFLX,55119.59677804906
OFLX_PCRX,54991.03036557276
FNLC_OFLX,54901.70485712107
COHU_OFLX,54824.53019330929
FGBI_OFLX,54330.10674815643
OFLX_STRT,53918.0317537765
LYTS_OFLX,53579.52159017981
OFLX_VC,52052.95358718708
FITB_OFLX,51574.61391870233
JAKK_OFLX,51400.50687012174
INTU_OFLX,50748.1702084002
FIVE_MDLZ,50245.3876258175
MDLZ_USAU,50145.88824057799
GTBP_MDLZ,50104.102261899636
MDLZ_MORN,50056.660997516236
LKQ_MDLZ,50042.54985171755
BLKB_MDLZ,49950.883547502475
MDLZ_MSFT,49950.318526863804
EXLS_MDLZ,49948.112684059
MDLZ_SGRP,49907.74199943376
FANH_MDLZ,49883.16659669072
INCY_MDLZ,49821.737630895484
MDLZ_RICK,49810.213963040645
MDLZ_SHEN,49786.29899812917
LSTR_MDLZ,49783.7557994787
ICFI_MDLZ,49777.6887743
MDLZ_STRA,49761.10830068116
LIVN_MDLZ,49759.1533027118
MDLZ_SMCI,49737.261976995724
MDLZ_SCOR,49736.745429749586
MDLZ_NXGN,49691.172112130735
ARAY_MDLZ,49686.25313276868
ESLT_MDLZ,49655.07484184384
GLBS_MDLZ,49634.3461164801
LMAT_MDLZ,49622.3977614779
COHR_MDLZ,49608.77912299563
MDLZ_STKL,49606.84821373811
