,0
COMS_NXST,2708021.884112505
AEHL_NXST,2706618.2087117755
NXST_PSTV,2706275.0512410332
NXST_THMO,2706038.9389445405
NXST_USAU,2705832.3137826747
MEIP_NXST,2705200.4291687435
DGLY_NXST,2704199.4534171917
NEPH_NXST,2702622.855997133
JAKK_NXST,2702621.7750758403
GLBS_NXST,2702297.832853358
CFBK_NXST,2701846.6167489924
CYCC_NXST,2701618.173844719
APTO_NXST,2701347.4470160604
ANTE_NXST,2701281.180593255
NXST_PALI,2701109.6894729757
BOSC_NXST,2698894.5956058456
GVP_NXST,2698890.14529507
MDGL_NXST,2695492.5876156553
ATEC_NXST,2695253.838138154
DRRX_NXST,2694044.8323752116
IDN_NXST,2693930.6565261246
NXST_UTSI,2693381.9567014417
CYRX_NXST,2692484.991975633
NXST_STRA,2692385.204649452
APDN_NXST,2691274.541535766
ARAY_NXST,2686184.0245396835
NXST_VEON,2686129.7452359684
NXST_NYMX,2686035.6445113258
AATC_NXST,2685646.3234894904
NXST_SMIT,2685384.9090883043
NXST_STCN,2682693.656727113
CDXC_NXST,2680367.5044451244
CDZI_NXST,2680347.1540076933
HALL_NXST,2680038.150479094
NXST_UNAM,2679153.4055116423
NXST_XTLB,2678722.355277626
GURE_NXST,2678575.236336896
ITRI_NXST,2677696.383840599
MULN_NXST,2677547.883466717
NXST_SCOR,2676774.9294952233
ELTK_NXST,2676555.51103141
NXST_ORRF,2676474.9941713833
CPLP_NXST,2675761.083786747
NXST_SHBI,2673992.2940343306
NXGN_NXST,2672001.370869823
DAKT_NXST,2671108.6973366654
NXST_PCTI,2670846.09733188
NXST_UCBI,2668838.537137665
ATHX_NXST,2668152.81921625
NXST_WNEB,2665544.581396484
NXST_OCC,2663036.03665602
AGEN_NXST,2661424.123809933
INVA_NXST,2661131.361852969
BFIN_NXST,2661077.371204504
MHLD_NXST,2660729.5599400178
CRESY_NXST,2659756.724436912
NXST_REED,2658615.0609115087
CONN_NXST,2658547.145690546
NXST_PGC,2658266.977618127
CWCO_NXST,2658181.5245137946
NXST_TRST,2654637.1004564352
NXST_ZEUS,2654593.140350095
HAFC_NXST,2654106.141487366
NXST_SYPR,2653260.86047766
AVID_NXST,2652118.210258188
NSYS_NXST,2651714.5545535902
NXST_SGRP,2650825.514918995
NXST_TATT,2650583.0533456323
NXST_ONB,2649871.6801465065
NXST_URBN,2647732.29880447
GEOS_NXST,2647532.880647583
CLMT_NXST,2646346.974992242
GLBZ_NXST,2645782.995375607
FANH_NXST,2643234.7382500623
BRKL_NXST,2643121.3373928475
NTRS_NXST,2642276.7325123334
NXST_TTMI,2639458.3571649157
NXST_TRMK,2638173.5430855127
HBIO_NXST,2637074.1772975596
NXST_OFIX,2636287.488411689
NXST_RDI,2633389.3592300597
NWFL_NXST,2632648.5398936425
NXST_PNRG,2630090.245507639
LYTS_NXST,2628715.960239797
AROW_NXST,2627543.235355288
NXST_RRGB,2625487.6843075505
NXST_PSEC,2624172.5003414215
CODA_NXST,2623829.7151607717
NXST_ULH,2623442.9716510833
BOOM_NXST,2622648.161019385
EML_NXST,2622438.2094888054
HFWA_NXST,2621991.2280887887
IPA_NXST,2621100.9196898467
AUB_NXST,2619935.95459447
NXST_PWOD,2618484.7684352035
CPHC_NXST,2617467.0458318572
NXST_PCYO,2614360.1605772614
NVEC_NXST,2614137.25832328
BOKF_NXST,2613565.7393376604
NXST_RBCAA,2611024.5603978178
NXST_UBOH,2610624.960553363
COHU_NXST,2610078.1663143863
FEIM_NXST,2609844.796676003
LARK_NXST,2609501.5165806026
FARO_NXST,2608029.1039015823
CBSH_NXST,2607701.1954428134
ARKR_NXST,2606256.7302814825
NXST_STKL,2604752.8279225505
CVBF_NXST,2603975.953683173
NXST_SHEN,2602667.4128163694
ICFI_NXST,2601558.575199702
CARE_NXST,2600445.624376867
CIVB_NXST,2597916.9669529875
IESC_NXST,2596536.029279995
EXEL_NXST,2595539.2185063194
NXST_SLM,2594513.2942525693
BGFV_NXST,2594229.8310274053
CGO_NXST,2591700.780241589
BECN_NXST,2590789.772549261
ARWR_NXST,2587416.5565518453
IEP_NXST,2587399.1603083117
NXST_PLCE,2587290.133250694
NXST_WERN,2586785.8038907046
CHI_NXST,2586354.8222532007
NXST_RELL,2585429.45391916
MDLZ_NXST,2584753.708824025
NXST_SMTC,2584623.3546063807
NTGR_NXST,2583934.7326394785
AGNC_NXST,2582607.1709476756
FCCO_NXST,2581496.110597205
LSTR_NXST,2580837.245741481
NXST_STRT,2578375.8829126125
CALM_NXST,2578287.3438605093
AEP_NXST,2577363.6160672805
HAIN_NXST,2576185.6897497256
AXTI_NXST,2575568.425235301
EBTC_NXST,2575162.0763341123
FMNB_NXST,2575001.561828706
ESLT_NXST,2574942.042184789
HBCP_NXST,2573897.236717847
CHCO_NXST,2572061.6291977307
AZN_NXST,2567363.4818698405
NXST_SOHO,2565230.9920417625
NXST_STGW,2564374.258509715
NXST_PEBO,2564000.4289859813
NXST_WDC,2562613.303645452
EFSC_NXST,2562582.604221127
COHR_NXST,2562370.9682940524
HSIC_NXST,2561828.794289282
NXST_SNFCA,2561713.3721970413
INTC_NXST,2561104.416614255
JVA_NXST,2560476.832538071
HQI_NXST,2556105.782817479
NXST_PRAA,2554993.2019798295
HOLX_NXST,2554217.4344193335
DLHC_NXST,2551799.0768028097
NXST_PLXS,2550610.451391996
LOPE_NXST,2550343.6448880252
ALLT_NXST,2547685.7860724195
LNT_NXST,2545251.837974953
NXST_WIRE,2542113.946439608
AACG_NXST,2541790.2715391284
CERS_NXST,2541321.569530886
NXST_TSBK,2539746.944090571
FBIZ_NXST,2538523.59143816
MORN_NXST,2534801.5019500847
NXST_OXSQ,2534536.412399088
FELE_NXST,2530332.489945136
IMKTA_NXST,2528589.878302342
EXTR_NXST,2528544.9349094476
ITIC_NXST,2528318.0742498273
MSEX_NXST,2527092.783258937
NXST_UAL,2526894.6769625
NXST_TBBK,2526695.671227821
NXST_WTFC,2520450.8748274185
HBAN_NXST,2518467.1688848725
BLKB_NXST,2491957.168082323
LWLG_NXST,2489441.183253923
DHIL_NXST,2486033.273167193
EA_NXST,2486002.252527367
LKQ_NXST,2485094.7407276835
MSTR_NXST,2484484.971127552
EPSN_NXST,2481265.767716243
HOLI_NXST,2475289.538048448
NATH_NXST,2473525.5738864364
DLTR_NXST,2469526.835347893
ECPG_NXST,2449794.6792195234
NXST_OFLX,2448031.9562441525
HBNC_NXST,2440392.7350035137
CGEN_NXST,2432514.6834696233
NXST_SMCI,2429840.9520048564
NXST_PFC,2428231.007623769
NXST_SCVL,2425098.535036438
NXST_WILC,2414193.7695164382
GOOGL_NXST,2408961.698131292
FKWL_NXST,2389325.852693893
CAR_COMS,2377761.1485143714
AEHL_CAR,2375862.283259547
CAR_THMO,2375041.0699474695
CAR_MEIP,2375007.768920427
CAR_PSTV,2374995.7331192023
CAR_USAU,2374273.0500221
CAR_DGLY,2374101.749952438
CAR_CFBK,2372303.909216749
CAR_JAKK,2372034.6836781623
APTO_CAR,2371941.8893760676
CAR_NEPH,2371784.061596077
ANTE_CAR,2371253.821718743
CAR_GVP,2370595.058637853
CAR_GLBS,2369882.7037819256
BOSC_CAR,2369655.3052200256
CAR_PALI,2369211.025546411
CAR_CYCC,2367348.18139933
CAR_DRRX,2367279.6539824186
CAR_MDGL,2366704.3536375505
CAR_IDN,2366682.441086709
CAR_UTSI,2366194.452051062
CAR_STRA,2366165.616436529
CAR_CYRX,2365069.76095597
ATEC_CAR,2364673.3340937602
NXST_RICK,2364464.0557277068
CAR_SMIT,2359742.3686985886
APDN_CAR,2359641.565276562
CAR_NYMX,2359599.7772943783
ARAY_CAR,2358771.074682193
CAR_CDZI,2358288.6011164673
AATC_CAR,2358108.639446104
CAR_HALL,2358038.2111285566
CAR_VEON,2357916.0828322913
CAR_CDXC,2357827.756029561
CAR_UNAM,2354735.3476552283
CAR_ITRI,2354384.516974689
CAR_STCN,2354178.5715174326
CAR_ORRF,2351311.52579207
CAR_SCOR,2350748.401646083
BGCP_NXST,2350414.5773669346
CAR_ELTK,2350041.154828997
CAR_GURE,2349948.785914507
CAR_SHBI,2349748.037319006
ATHX_CAR,2348950.921963633
CCOI_NXST,2348626.239151475
CAR_PCTI,2347953.4901572554
CAR_CPLP,2347716.405996726
CAR_DAKT,2347669.1541779274
NXST_VICR,2347551.507456017
CAR_NXGN,2346865.933741725
CAR_XTLB,2346490.797892956
CAR_UCBI,2345529.0425011287
CAR_MULN,2343806.9241711865
CAR_WNEB,2343237.9983725883
BFIN_CAR,2340676.0470953807
NXST_SBAC,2340053.5606596237
AGEN_CAR,2339652.734474993
CAR_OCC,2339393.6792998784
EXLS_NXST,2339034.12246203
CAR_CRESY,2338499.516680045
CAR_INVA,2337526.8107633013
CAR_CONN,2337361.6393447863
CAR_REED,2337238.3227901845
CAR_CWCO,2336967.9557919526
CAR_PGC,2336898.1794744898
CAR_MHLD,2335762.7525974093
CAR_TRST,2335225.680267258
CAR_FANH,2334245.174208862
CAR_HAFC,2332738.6456869924
CAR_ONB,2330911.6559140496
CAR_TATT,2330035.612103807
CAR_ZEUS,2328779.6084422786
CAR_SGRP,2328222.7504420946
CAR_URBN,2327216.741384509
CAR_GLBZ,2326913.362758127
CPSS_NXST,2326318.160046758
CAR_NSYS,2326313.000403171
CAR_SYPR,2326116.3700058092
BRKL_CAR,2326047.692228478
CAR_RDI,2325137.7504685023
AVID_CAR,2324836.0124482205
CAR_NTRS,2324821.3778267237
CAR_OFIX,2324708.511314273
CAR_TTMI,2322002.6031353227
CAR_TRMK,2321875.4193474026
CAR_GEOS,2320694.7851022948
CAR_NWFL,2318021.763486271
CAR_PNRG,2317770.821892939
CAR_HBIO,2316891.893193979
BOOM_CAR,2316596.8803988276
CAR_CODA,2314370.4198059714
CAR_CLMT,2313899.8953522267
AROW_CAR,2313809.53182509
CAR_IPA,2312231.5942700054
CAR_RRGB,2312126.694904885
CAR_EML,2311123.7414742517
CAR_HFWA,2310261.582835075
CAR_LYTS,2308980.5575119075
NDSN_NXST,2308247.3161444715
AUB_CAR,2307521.852083149
CAR_ULH,2306446.4009212754
CAR_PSEC,2305874.6551273945
CAR_PWOD,2305231.0913914484
CAR_PCYO,2303958.442455014
CAR_NVEC,2302052.6797294295
CAR_FARO,2301145.132142547
CAR_FEIM,2300401.64268406
CAR_SHEN,2300189.86831121
CAR_RBCAA,2299384.9360319152
CAR_UBOH,2299202.4223062126
BOKF_CAR,2299184.4809412826
CAR_CPHC,2298436.907252063
CAR_LARK,2297709.7253020513
CAR_CBSH,2296961.5932352543
ARKR_CAR,2295879.489205921
CAR_COHU,2295485.740925517
CAR_CVBF,2294415.5978712495
CAR_EXEL,2293470.752271435
CAR_CARE,2291873.082046608
CAR_CIVB,2290955.3467441685
CAR_STKL,2290015.991137364
